model,experiment,loss,mae,rmse,epochs_trained
LSTM,2026-07-01_17-14-36,13.115739822387695,2.804011344909668,3.621565818786621,18
Transformer/baseline,2026-07-17_19-36-12,18.897480010986328,3.5341570377349854,4.347123146057129,12
Transformer/exp01_temperature_feature,2026-07-25_16-57-47,7.110311985015869,2.253056526184082,2.6665167808532715,7
Transformer/exp02_city_embedding,2026-07-26_19-52-32,18.641626358032227,3.566030740737915,4.3175950050354,12
Transformer/exp03_city_and_temperature_features,2026-08-01_14-56-03,6.038644790649414,2.0432112216949463,2.4573652744293213,9
