model,experiment,loss,mae,rmse,epochs_trained
Transformer/baseline,2026-07-17_19-36-12,18.897480010986328,3.5341570377349854,4.347123146057129,12
Transformer/exp01_temperature_feature,2026-07-25_16-57-47,7.110311985015869,2.253056526184082,2.6665167808532715,7
Transformer/exp02_city_embedding,2026-07-26_19-52-32,18.641626358032227,3.566030740737915,4.3175950050354,12
