loss,mae,rmse,val_loss,val_mae,val_rmse
35.860591888427734,4.561267852783203,5.9883713722229,28.601036071777344,4.281854629516602,5.347993850708008
20.685400009155273,3.508131504058838,4.548120498657227,20.377399444580078,3.6640262603759766,4.514133453369141
15.624019622802734,2.9967072010040283,3.9527230262756348,18.918458938598633,3.5082547664642334,4.3495354652404785
14.433523178100586,2.8736021518707275,3.799147605895996,16.74268341064453,3.2594025135040283,4.091782569885254
13.710121154785156,2.798182725906372,3.7027180194854736,18.861373901367188,3.492844820022583,4.342968463897705
13.037858009338379,2.728260040283203,3.61079740524292,18.274662017822266,3.46401047706604,4.274887561798096
12.606242179870605,2.6802563667297363,3.5505270957946777,16.577390670776367,3.1941428184509277,4.071534156799316
12.271224975585938,2.639561414718628,3.503030776977539,16.254592895507812,3.2048165798187256,4.031698703765869
11.811887741088867,2.594019651412964,3.436842679977417,17.655105590820312,3.349965810775757,4.201797962188721
11.606016159057617,2.568729877471924,3.4067604541778564,17.71950340270996,3.3564088344573975,4.20945405960083
11.342260360717773,2.5394949913024902,3.3678271770477295,18.50872802734375,3.496084451675415,4.3021769523620605
11.226907730102539,2.525729179382324,3.3506577014923096,17.593608856201172,3.3766672611236572,4.194473743438721
10.962969779968262,2.4970850944519043,3.311037540435791,14.194212913513184,2.936260938644409,3.7675209045410156
10.801517486572266,2.478914260864258,3.2865662574768066,16.191421508789062,3.166123867034912,4.0238566398620605
10.781868934631348,2.4752116203308105,3.2835755348205566,16.497468948364258,3.2196407318115234,4.061707496643066
10.615006446838379,2.4583306312561035,3.2580678462982178,16.686006546020508,3.2648887634277344,4.084850788116455
10.428926467895508,2.438636541366577,3.2293848991394043,16.48805809020996,3.233520984649658,4.060548782348633
10.239018440246582,2.4164879322052,3.1998467445373535,15.774188041687012,3.1275625228881836,3.9716732501983643
