loss,mae,rmse,val_loss,val_mae,val_rmse
11.8956298828125,2.556990385055542,3.4490041732788086,24.651100158691406,4.121406555175781,4.964987277984619
9.281105995178223,2.2778494358062744,3.0464906692504883,19.932382583618164,3.7194230556488037,4.464569568634033
8.680974960327148,2.205332040786743,2.9463493824005127,18.601255416870117,3.5625782012939453,4.312917232513428
8.093062400817871,2.1358096599578857,2.8448307514190674,18.588905334472656,3.545929431915283,4.311485290527344
7.653234481811523,2.079627275466919,2.7664480209350586,17.530765533447266,3.4785189628601074,4.186975479125977
7.414367198944092,2.0485823154449463,2.722933530807495,17.361852645874023,3.465500593185425,4.166755676269531
7.2110419273376465,2.022688388824463,2.685338258743286,14.348790168762207,3.0935962200164795,3.7879796028137207
7.057977676391602,2.0018150806427,2.6566853523254395,16.54214096069336,3.3643100261688232,4.067203044891357
6.936685562133789,1.9846162796020508,2.633758783340454,17.39567756652832,3.4427881240844727,4.170812606811523
6.850615978240967,1.9736301898956299,2.617368221282959,16.87763786315918,3.4039711952209473,4.108240127563477
6.769754409790039,1.9623903036117554,2.601875066757202,15.029356002807617,3.176903009414673,3.8767712116241455
6.706424713134766,1.9534869194030762,2.58967661857605,16.380001068115234,3.3375794887542725,4.0472211837768555
