loss,mae,rmse,val_loss,val_mae,val_rmse
17.0837345123291,2.8578693866729736,4.133247375488281,19.433204650878906,3.8144941329956055,4.408310890197754
7.901871681213379,2.0659918785095215,2.8110268115997314,19.28714942932129,3.8200714588165283,4.391713619232178
7.370667457580566,1.9885890483856201,2.714897394180298,16.538841247558594,3.470144033432007,4.066797256469727
6.997448444366455,1.9297709465026855,2.6452691555023193,16.12967872619629,3.4244351387023926,4.016177177429199
6.805549144744873,1.8987553119659424,2.6087448596954346,16.34490966796875,3.4326133728027344,4.04288387298584
6.690646648406982,1.8803638219833374,2.5866284370422363,15.78492259979248,3.449660062789917,3.973024368286133
6.561889171600342,1.859623908996582,2.5616185665130615,15.03132152557373,3.3401830196380615,3.8770248889923096
6.478100776672363,1.8466230630874634,2.5452113151550293,15.613679885864258,3.3740925788879395,3.9514148235321045
6.353137493133545,1.827447533607483,2.520543098449707,16.51283073425293,3.5071449279785156,4.063598155975342
6.266292095184326,1.8126815557479858,2.503256320953369,13.782745361328125,3.158780574798584,3.7125120162963867
6.182787895202637,1.8006527423858643,2.4865212440490723,15.03085994720459,3.3272593021392822,3.876965284347534
6.123762130737305,1.7897917032241821,2.474623680114746,13.181736946105957,3.1162946224212646,3.6306662559509277
6.057832717895508,1.7795610427856445,2.46126651763916,14.241350173950195,3.2512693405151367,3.773771286010742
6.028621673583984,1.7745577096939087,2.455325126647949,15.165142059326172,3.3567094802856445,3.89424467086792
5.957486152648926,1.7655143737792969,2.440796136856079,15.284080505371094,3.3798978328704834,3.9094860553741455
5.929659843444824,1.7600946426391602,2.435089349746704,18.45025062561035,3.792043924331665,4.295375347137451
5.906096458435059,1.756394624710083,2.430246114730835,15.256381034851074,3.378535509109497,3.9059417247772217
