loss,mae,rmse,val_loss,val_mae,val_rmse
15.172755241394043,2.8960916996002197,3.8952221870422363,16.384899139404297,3.1860718727111816,4.047826290130615
8.855887413024902,2.266054153442383,2.975884199142456,16.46871566772461,3.1762442588806152,4.05816650390625
7.414484977722168,2.07798433303833,2.7229552268981934,14.987957954406738,3.020571708679199,3.8714284896850586
6.522244453430176,1.9570631980895996,2.553868532180786,16.074222564697266,3.1073362827301025,4.0092668533325195
5.922602653503418,1.8690584897994995,2.4336397647857666,14.605077743530273,2.9503281116485596,3.8216590881347656
5.474984645843506,1.8003114461898804,2.3398685455322266,16.12163734436035,3.1108105182647705,4.015175819396973
5.138024806976318,1.7426241636276245,2.266721248626709,15.132148742675781,2.9648709297180176,3.8900063037872314
4.855696201324463,1.694626808166504,2.203564405441284,15.750155448913574,3.045436143875122,3.96864652633667
4.617533206939697,1.6539833545684814,2.1488447189331055,14.427948951721191,2.9116222858428955,3.7984139919281006
4.452516555786133,1.6249252557754517,2.1100986003875732,14.593144416809082,2.914454221725464,3.8200974464416504
4.277895450592041,1.5950440168380737,2.068307399749756,15.641487121582031,3.0756993293762207,3.9549319744110107
4.157138824462891,1.5708136558532715,2.0389063358306885,15.303994178771973,2.978044271469116,3.912031888961792
4.064732074737549,1.553675889968872,2.016118049621582,16.309307098388672,3.10479998588562,4.038478374481201
3.993144989013672,1.5383892059326172,1.9982855319976807,14.932666778564453,2.9705288410186768,3.864280939102173
