loss,mae,rmse,val_loss,val_mae,val_rmse
7.596931457519531,1.964437484741211,2.756253242492676,5.631443023681641,1.702038049697876,2.3730661869049072
6.344623565673828,1.7925447225570679,2.5188536643981934,5.475128650665283,1.67707359790802,2.3398993015289307
6.045065879821777,1.746120810508728,2.4586715698242188,5.084998607635498,1.593064308166504,2.2549941539764404
5.867686748504639,1.7175252437591553,2.422330856323242,5.131275653839111,1.6164050102233887,2.2652318477630615
5.751948833465576,1.6995339393615723,2.398322105407715,5.091932773590088,1.6035473346710205,2.256531238555908
5.68200159072876,1.6875357627868652,2.383694887161255,5.133725643157959,1.6140713691711426,2.265772581100464
5.604455947875977,1.6762608289718628,2.36737322807312,5.06859016418457,1.6149051189422607,2.2513530254364014
5.543589115142822,1.6666368246078491,2.354482889175415,5.412096977233887,1.6740474700927734,2.3263914585113525
5.497032165527344,1.6595906019210815,2.3445751667022705,5.131594181060791,1.6098788976669312,2.2653021812438965
5.440328598022461,1.651292085647583,2.332451105117798,5.137210369110107,1.6145164966583252,2.2665414810180664
5.3987274169921875,1.6452322006225586,2.3235161304473877,4.97815465927124,1.5839945077896118,2.231177806854248
5.363930702209473,1.640037178993225,2.31601619720459,5.242481708526611,1.6332497596740723,2.289646625518799
5.331018447875977,1.6349982023239136,2.3088998794555664,4.966925621032715,1.5853296518325806,2.2286601066589355
5.29251766204834,1.6298526525497437,2.3005473613739014,5.100955009460449,1.6120511293411255,2.2585294246673584
5.261977672576904,1.6263113021850586,2.2939000129699707,5.04387903213501,1.601421594619751,2.2458581924438477
5.221892356872559,1.6210087537765503,2.2851459980010986,5.1624064445495605,1.6227550506591797,2.2720930576324463
5.194040775299072,1.6173591613769531,2.2790439128875732,5.12651252746582,1.6118165254592896,2.2641804218292236
5.168558597564697,1.613508701324463,2.2734463214874268,4.987445831298828,1.5906158685684204,2.2332589626312256
