model,experiment,loss,mae,rmse,epochs_trained
LSTM,2026-07-01_17-14-36,13.115739822387695,2.804011344909668,3.621565818786621,18
Transformer/baseline,2026-07-17_19-36-12,18.897480010986328,3.5341570377349854,4.347123146057129,12
